Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Gabriel Jesus,https://fbref.com/req/202302030/images/headshots/b66315ae_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c10.png,FW,ST,0.466,16828855,223846398,9.67532242060319,40.1563721657545,1,1,6.8,,,,,,,,,,6.0,,,,,,,0.0,3.0,57.0,3.0,0.0,,,,,,,,,7,2,110,42
Kai Havertz,https://fbref.com/req/202302030/images/headshots/fed7cb61_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c11.png,FW,ST,0.889,17781432,223846398,19.237615373676,79.8436278342455,1,1,20.4,,,,,,,,,,23.0,,,,,,,3.0,9.0,110.0,9.4,-0.4,,,,,,,,,3,1,56,19
Gabriel Martinelli,https://fbref.com/req/202302030/images/headshots/48a5a5d6_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c12.png,FW,LW,0.856,11430921,223846398,18.4916208879753,57.0034843205575,1,2,19.9,,,,,,,,,,27.0,,,,,,,4.0,6.0,235.0,5.1,0.9,,,,,,,,,4,2,61,20
Leandro Trossard,https://fbref.com/req/202302030/images/headshots/38ceb24a_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c13.png,FW,LW,0.942,5715460,223846398,20.4357277294983,62.9965156794425,1,2,23.2,,,,,,,,,,46.0,,,,,,,5.0,5.0,185.0,5.6,-0.6,,,,,,,,,2,1,49,18
Bukayo Saka,https://fbref.com/req/202302030/images/headshots/bc7dc64d_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c14.png,FW,RW,1.076,12383497,223846398,23.4649174593134,57.0590929912964,1,3,15.2,,,,,,,,,,22.0,,,,,,,10.0,6.0,208.0,5.2,0.8,,,,,,,,,1,1,40,10
Ethan Nwaneri,https://fbref.com/req/202302030/images/headshots/7f94982c_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c15.png,FW,RW,0.583,412240,223846398,12.3202119608148,29.9587723316537,1,3,8.6,,,,,,,,,,21.0,,,,,,,2.0,3.0,93.0,1.0,2.0,,,,,,,,,6,3,100,25
Raheem Sterling,https://fbref.com/req/202302030/images/headshots/b400bde0_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c16.png,FW,RW,0.638,7557736,223846398,13.5635361036493,32.9821346770499,1,3,3.9,,,,,,,,,,9.0,,,,,,,2.0,0.0,63.0,1.3,-1.3,,,,,,,,,5,2,88,19
Declan Rice,https://fbref.com/req/202302030/images/headshots/1c7012b8_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c17.png,MF,CM,1.841,15241227,223846398,25.4992757513828,67.3736089190776,2,1,26.8,,,,,,,,,,53.0,,162.0,51.0,,95.0,5.2,,,,,,,,,,,,,,2,1,26,9
Mikel Merino,https://fbref.com/req/202302030/images/headshots/d080ed5e_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c18.png,MF,CM,0.564,8255665,223846398,10.6950591565537,28.2582430970014,2,1,14.9,,,,,,,,,,12.0,,60.0,14.0,,38.0,1.1,,,,,,,,,,,,,,4,2,102,53
Myles Lewis-Skelly,https://fbref.com/req/202302030/images/headshots/5dff6c28_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c19.png,MF,CM,0.437,274827,223846398,9.22275257272966,24.368147983921,2,1,10.7,,,,,,,,,,18.0,,52.0,5.0,,18.0,0.3,,,,,,,,,,,,,,5,3,113,59
