Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Gabriel Jesus,https://fbref.com/req/202302030/images/headshots/b66315ae_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c10.png,FW,ST,0.466,16828855,223846398,9.67532242060319,40.1563721657545,1,1,6.8,,,,,,,,,,6,,,,,,,0,3,57,3,0,,60°N-70°N,9.777270131,,,,,,7,2,110,42
Kai Havertz,https://fbref.com/req/202302030/images/headshots/fed7cb61_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c11.png,FW,ST,0.889,17781432,223846398,19.237615373676,79.8436278342455,1,1,20.4,,,,,,,,,,23,,,,,,,3,9,110,9.4,-0.4,,40°N-60°N,6.377318429,,,,,,3,1,56,19
Gabriel Martinelli,https://fbref.com/req/202302030/images/headshots/48a5a5d6_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c12.png,FW,LW,0.856,11430921,223846398,18.4916208879753,57.0034843205575,1,2,19.9,,,,,,,,,,27,,,,,,,4,6,235,5.1,0.9,,40°N-60°N,7.34895560380326,,,,,,4,2,61,20
Leandro Trossard,https://fbref.com/req/202302030/images/headshots/38ceb24a_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c13.png,FW,LW,0.942,5715460,223846398,20.4357277294983,62.9965156794425,1,2,23.2,,,,,,,,,,46,,,,,,,5,5,185,5.6,-0.6,,40°N-60°N,8.12158418806615,,,,,,2,1,49,18
Bukayo Saka,https://fbref.com/req/202302030/images/headshots/bc7dc64d_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c14.png,FW,RW,1.076,12383497,223846398,23.4649174593134,57.0590929912964,1,3,15.2,,,,,,,,,,22,,,,,,,10,6,208,5.2,0.8,,40°N-60°N,12.59581353018506,,,,,,1,1,40,10
Ethan Nwaneri,https://fbref.com/req/202302030/images/headshots/7f94982c_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c15.png,FW,RW,0.583,412240,223846398,12.3202119608148,29.9587723316537,1,3,8.6,,,,,,,,,,21,,,,,,,2,3,93,1,2,,35°N-40°N,16.83831101956747,,,,,,6,3,100,25
Raheem Sterling,https://fbref.com/req/202302030/images/headshots/b400bde0_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c16.png,FW,RW,0.638,7557736,223846398,13.5635361036493,32.9821346770499,1,3,3.9,,,,,,,,,,9,,,,,,,2,0,63,1.3,-1.3,,35°N-40°N,18.53759011328526,,,,,,5,2,88,19
Declan Rice,https://fbref.com/req/202302030/images/headshots/1c7012b8_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c17.png,MF,CM,1.841,15241227,223846398,25.4992757513828,67.3736089190776,2,1,26.8,,,,,,,,,,53,,162,51,,95,5.2,,,,,,,20°S-5°S,7.300769645333897,,,,,,2,1,26,9
Mikel Merino,https://fbref.com/req/202302030/images/headshots/d080ed5e_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c18.png,MF,CM,0.564,8255665,223846398,10.6950591565537,28.2582430970014,2,1,14.9,,,,,,,,,,12,,60,14,,38,1.1,,,,,,,5°S-5°N,4.574760310565705,,,,,,4,2,102,53
Myles Lewis-Skelly,https://fbref.com/req/202302030/images/headshots/5dff6c28_2022.jpg,Arsenal,https://cdn.ssref.net/req/202505011/tlogo/fb/18bb7c19.png,MF,CM,0.437,274827,223846398,9.22275257272966,24.368147983921,2,1,10.7,,,,,,,,,,18,,52,5,,18,0.3,,,,,,,5°S-5°N,3.944988223654345,,,,,,5,3,113,59
